1	111	1011	10011	100101	1000011	10001001	100011101	1000010001	10000001001
3		1101	11111	111101	1010111	10001111	101110111	1001011001	10000001111
5			111	110111	1100111	10011101	111110011	1100110001	10100001101
7			11001	101111	1001001	11110111	101101001	1010011001	11111111001
9				110111	1101	10111111	110111101	1100010011	10010101111
11				111011	1101101	11010101	111100111	1000101101	10000110101
13						10000011	100101011	1001110111	10001101111
15							111010111	1101100001	10110101011
17							10011	1011011011	11101001101
19						11001011	101100101	1110000101	10111111011
21						11100101	110001011	1000010111	11111101011
23							101100011	1111101001	10000011011
25							100011011	1111100011	10100100011
27							100111111	1110001111	11101111011
29								101101011	10100110001
31									11000100001
33									111101
35								1100000001	11000010011
37							101011111	1001101111	11101100011
39								1111001101	10001000111
41								1101110011	10111100101
43							111000011	1111001011	10100011001
45							100111001	1001111101	11000110001
47									11001111111
49									11101010101
51							11111	1111010101	10101100111
53								1010010101	10110001111
55								1010111101	11100101011
57									11001010001
59									11100111001
61									
63									
65									
67									10111000001
69									11011010011
71								1011	11101000111
73								1111111011	10001011111
75								1101001001	10100001011
77									
79									
81									
83							111	1100010101	11110010011
85								1010110111	10111000111
87									10011001001
89									10011010111
91									11010110101
93									11111111111
95									
97									
99									110111
