7	4	3	1
15	11	4	1
15	7	8	2
15	5	10	3
31	26	5	1
31	21	10	2
31	16	15	3
31	11	20	5
31	6	25	7
63	57	6	1
63	51	13	2
63	45	18	3
63	39	24	4
63	36	27	5
63	30	33	6
63	24	39	7
63	18	35	10
63	16	37	11
63	10	53	13
63	7	56	15
127	120	7	1
127	113	14	2
127	106	21	3
127	99	28	4
127	92	35	5
127	85	42	6
127	78	49	7
127	71	56	9
127	64	63	10
127	57	70	11
127	50	77	13
127	43	84	14
127	36	91	15
127	29	98	21
127	22	105	23
127	15	112	27
127	8	119	31
255	247	8	1
255	239	16	2
255	231	24	3
255	223	32	4
255	215	40	5
255	207	48	6
255	199	56	7
